,GF,SPF,Pval
HERVL40-int,1.71572884,1.628756647,0.444163088
(CGGGGG)n,0.903012427,0.964448208,0
(CCCTAG)n,0.165625825,0.289588953,0
Charlie13a,1.053681973,1.11058971,0
LTR86C,0.570709688,0.923761961,0
(TTAGG)n,0.056360281,0,0
ORR1D-int,1.711771087,1.671469062,0.191496715
LTR88b,0.525600053,0.574725584,0
MLT1E3,2.308777774,2.217389179,1.883149256
(AACTG)n,1.677841502,1.548119052,1.145436998
(CAAAC)n,1.752432609,1.807426779,0.058740402
Charlie4z,1.577573858,1.557699644,0.116142189
Charlie1,2.292116771,2.342481899,0.126076745
RLTR12F,0.150975614,0.057666104,0
(TCCA)n,2.067687118,2.111202004,0.03141151
(CAT)n,3.020575535,3.065883577,0.083970761
Eulor12,0.411860113,0.2509077,0
MER96B,1.576291977,1.645736577,0.101784221
MER70-int,0.240192538,0.279666944,0
MER95,0.344392274,0.197004728,0
LTR67B,1.534116801,1.623125189,0.138637889
tRNA-Thr-ACG,0.130793096,0.248953615,0
ORR1C2,2.979788282,3.022029776,0.100982494
SRV_MM-int,1.295755541,1.236033147,0
RLTR10F,1.34481317,1.30847904,0
L1M3,2.585025411,2.654213133,0.33596049
RLTR9A2,1.373201086,1.452154586,0
ERVB7_2B-LTR_MM,1.445270516,1.50428052,0
MER54A,1.344532618,1.320644711,0
ETnERV-int,2.888557361,2.788091974,2.081044577
RLTR3_Mm,1.564868879,1.586879736,0.021292496
B2_Mm1t,3.502566205,3.536082983,0.053435028
RLTR13A3,1.541828767,1.544365744,0.040606598
(CTAAA)n,0.555785176,0.746634199,0
MER91C,0.432511174,0.66407759,0
LTRIS4A,1.193919282,1.193514175,0
L1MEd,3.787758842,3.765654848,1.217068641
RLTR42,1.151238478,1.302979937,0
L1M1,1.482567347,1.50141532,0.011351897
MER90,1.091616718,1.059411937,0
L2b,3.058631517,3.08003452,0.070219208
IAPLTR3-int,1.512226843,1.466778677,0.173510975
LTR16D,0.681887029,0.535040813,0
U8,1.176752537,1.43001052,0
B4,3.767726702,3.785023158,0.192184841
L1MB5,2.672019968,2.701369356,0.004475425
X7A_LINE,1.455388748,1.357286732,0
(GAA)n,3.09108332,3.104820216,0.04636432
RMER17A,2.080832558,2.225050696,1.178327855
MER57C2,1.165752917,1.102982231,0
MIRc,3.275453518,3.305516026,0.011671197
tRNA-Thr-ACG_,0.267841936,0.037426498,0
RLTR24B_MM,1.462953881,1.527423659,0.069856134
Arthur1,1.386295083,1.580810973,0
L1MEb,1.614882157,1.680262974,0.05704084
polypyrimidine,1.800775975,1.855482812,0.070219208
MamGypLTR3,0.533663135,0.43679851,0
LTRIS2,2.131192317,2.202575494,0.273832018
L1MD1,2.396206822,2.397063587,0.15177705
(GGAGAA)n,1.505808676,1.642128034,0.514810605
BGLII,1.973668735,2.08979211,0.900841232
(CCCG)n,1.723748778,1.717537366,0.081254429
LTR69,0.868728384,0.96538987,0
(CCCTG)n,1.235600583,1.388846894,0
RLTR10A,1.844911874,1.881190579,0.02679728
MLTR11B,2.28422764,2.308133106,0.014699464
IAPEY3-int,1.841609712,1.907561833,0.101904466
LTR28B,1.085086612,1.127817234,0
(CCCCCT)n,1.185784913,1.319231018,0
RLTR14_RN,2.079413842,2.075254901,0.115175301
MER126,0.917280389,0.994581081,0
(GA)n,2.755892271,2.789620192,0.030503065
Charlie6,1.813333131,1.798236176,0.133989325
MER34A1,1.865907323,1.877463494,0.03141151
(CATAT)n,0.267841936,0.177824972,0
LTR37B,1.102727644,1.170613703,0
RLTR20A2,1.426069539,1.425044875,0
MamRep434,1.588863705,1.714815763,0.376701717
MER131,1.227666381,1.308948386,0
